name,grade,board_angle,moonboard_year,setter,start_holds,middle_holds,end_holds,rules,is_benchmark
STATIC FOR PRO\u0027S,6A+,40°,2017,Lukas  Dieckmann,"H5,D5,","F9,J11,G14,J16,","F18,",Feet follow hands,FALSE
CROSSING RIVER,6A+,40°,2017,mzander,"F4,H5,","F8,H11,E13,D15,","B18,",Feet follow hands,FALSE
TEST Z1,6A+,40°,2017,Potato,"A4,A5,","D7,D9,H11,F13,I16,","F18,",Feet follow hands,FALSE
MONKEY MOO,6A+,40°,2017,dep,"H5,F5,","I7,F8,H10,F12,E13,C16,J2,E2,A10,","B18,",Feet follow hands,FALSE
THE RANDSOM HAMBLER,6A+,40°,2017,SUPAHOTCLIMBA,"H5,E3,","E8,I10,E13,I16,","F18,",Feet follow hands + screw ons,FALSE
HUBERIFIC,6A+,40°,2017,VinnySend,"D5,H5,","G1,G8,C10,E13,A14,E17,","D18,",Feet follow hands,FALSE
DELY PUNCH,6A+,40°,2017,marialclimber,"F5,","E8,I8,H10,F12,G13,C16,","B18,",Feet follow hands,FALSE
THE EASY LIFE,6A+,40°,2017,cauliflower,"D4,H5,","I7,H10,G13,D15,","H18,",Feet follow hands,FALSE
POTBELLY,6A+,40°,2017,Lisa Watson,"I2,F5,","I7,J9,J11,G13,J16,","F18,",Feet follow hands,FALSE
STRAIGHT FORWARD,6A+,40°,2017,Tommyboy,"E6,J6,","K4,D3,I10,C10,G13,B13,I15,D15,","F18,",Feet follow hands,FALSE
POTATO,6A+,40°,2017,Nomnomnom2,"F5,D5,","F9,D10,E13,C16,","F18,",Feet follow hands,FALSE
HARALDS PROBLEM 1,6A+,40°,2017,Harald Nordlie,"F4,D6,","C9,G11,D13,D16,F8,H14,H17,","E18,",Feet follow hands,FALSE
LILIAME,6A+,40°,2017,Andrew Taylor,"F5,D2,","E8,H10,F12,G13,D15,","F18,",Feet follow hands,FALSE
PROFESSIONAL SANDBAGGER,6A+,40°,2017,epley,"D4,H5,","F6,I7,G11,G13,J11,C14,C16,","B18,",Feet follow hands + screw ons,FALSE
ISABELLA KAT,6A+,40°,2017,Matt Frederick,"D6,H5,","G7,D9,F12,D15,C16,","A18,",Feet follow hands,FALSE
KEVIN\u0027S FANNY PACK,6A+,25°,2017,Nomi,"A5,F3,","F8,I10,G4,G13,C14,","F18,",Feet follow hands,FALSE
